collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-17T21:48:41+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T21:48:41+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T21:59:46+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T21:59:46+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T22:27:58+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T22:27:58+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T22:45:45+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T22:45:45+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T22:56:41+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T22:56:41+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T23:23:08+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T23:23:08+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T23:38:47+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T23:38:47+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T23:50:15+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T23:50:15+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
